Date,Symbol,Company Name,Split Ratio
07/02/2025,PTHS,Pelthos Therapeutics Inc,1 : 10
07/01/2025,HSDT,Helius Medical Technologies Inc,1 : 50
06/30/2025,AIMD,Ainos Inc,1 : 5
06/27/2025,INDP,Indaptus Therapeutics Inc,1 : 28
06/27/2025,GNLN,Greenlane Holdings Inc,1 : 751.88
06/27/2025,TRNR,Interactive Strength Inc,1 : 10
06/26/2025,SLMT,Brera Holdings PLC,1 : 10
06/26/2025,SBLX,Stablex Technologies Inc,1 : 16
06/24/2025,JDZG,Jiade Ltd.,1 : 8
06/24/2025,CLRB,Cellectar Biosciences Inc,1 : 30
06/23/2025,STEM,Stem Inc,1 : 20
06/23/2025,TRUG,Trugolf Holdings Inc,1 : 50
06/23/2025,SLE,Super League Enterprise Inc,1 : 40
06/23/2025,KULR,Kulr Technology Group Inc,1 : 8
06/20/2025,BNRG,Brenmiller Energy Ltd.,1 : 5
06/20/2025,UNCY,Unicycive Therapeutics Inc,1 : 10
06/20/2025,XXII,22nd Century Group Inc,1 : 23
06/17/2025,FGEN,Fibrogen Inc,1 : 25
06/17/2025,SNSE,Sensei Biotherapeutics Inc,1 : 20
06/17/2025,RAPT,Rapt Therapeutics Inc,1 : 8
06/16/2025,JZ,Jianzhi Education Technology Group Co Ltd.,1 : 10
06/16/2025,GCTK,Glucotrack Inc,1 : 59.99
06/16/2025,CBIO,Crescent Biopharma Inc,1 : 100
06/16/2025,NCI,Neo-concept International Group Holdings Ltd.,1 : 5
06/16/2025,JFBR,Jeffs' Brands Ltd.,1 : 17
06/16/2025,SHPH,Shuttle Pharmaceuticals Holdings Inc,1 : 25
06/13/2025,ONCO,Onconetix Inc,1 : 85.03
06/13/2025,CHNR,China Natural Resources Inc,1 : 8
06/13/2025,AMZE,Amaze Holdings Inc,1 : 23
06/13/2025,ARTL,Artelo Biosciences Inc,1 : 6
06/13/2025,CERO,Cero Therapeutics Holdings Inc,1 : 20
06/12/2025,SST,System1 Inc,1 : 10
06/12/2025,EMPD,Empery Digital Inc,1 : 8
06/12/2025,AIM,Aim Immunotech Inc,1 : 100
06/12/2025,ERNA,Ernexa Therapeutics Inc,1 : 15
06/11/2025,SVRE,Saverone 2014 Ltd.,1 : 3
